
**********************************************************
Atom Playback Data:   -2028182572
Log started: 10 Aug 2016 4:23:31pm

LOG START
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 200 0 9800
27648 252 0 9748
27648 252 0 9748
27648 252 0 9748
27648 252 0 9748
27648 179 0 9821
27648 179 0 9821
27648 179 0 9821
27648 179 0 9821
27648 144 0 9856
27648 54 0 9946
27648 54 0 9946
27648 54 0 9946
27648 27 0 9973
27648 27 0 9973
27648 27 0 9973
27648 22 0 9978
27648 20 0 9980
27648 20 0 9980
27648 16 0 9984
27648 16 0 9984
27648 16 0 9984
27648 14 0 9986
27648 14 0 9986
27648 14 0 9986
27648 14 0 9986
27648 13 0 9987
27648 13 0 9987
27648 13 0 9987
27648 13 0 9987
27648 12 0 9988
27648 12 0 9988
27648 12 0 9988
27648 11 0 9989
27648 11 0 9989
27648 11 0 9989
27648 11 0 9989
27648 11 0 9989
27648 11 0 9989
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
27648 10 0 9990
